execution_id,family,strategy,pattern,severity,impact_score,loop_depth,is_inside_loop,relative_line_position,co_occurring_patterns,execution_count_at_line,avg_time_ms_at_line,total_time_ms_at_line,line_dominance,function_call_count,max_recursion_depth,source_lines,complexity_class,complexity_ordinal,execution_time_ms,peak_memory_bytes,total_suggestions
7a2b4450-b09b-4578-9181-a1e69026ac08,loops,restructure_loop,unused_vars,low,3.0,0,False,0.5,unused_vars,1,0.001,0.001,0.041667,0,0,18,O(log n),2,0.142,3451,5
7a2b4450-b09b-4578-9181-a1e69026ac08,loops,restructure_loop,unused_vars,low,3.0,0,False,0.3889,unused_vars,1,0.001,0.001,0.041667,0,0,18,O(log n),2,0.142,3451,5
7a2b4450-b09b-4578-9181-a1e69026ac08,loops,restructure_loop,unused_vars,low,3.0,0,False,0.3333,unused_vars,1,0.001,0.001,0.041667,0,0,18,O(log n),2,0.142,3451,5
7a2b4450-b09b-4578-9181-a1e69026ac08,loops,restructure_loop,unused_vars,low,3.0,0,False,0.2778,unused_vars,1,0.001,0.001,0.041667,0,0,18,O(log n),2,0.142,3451,5
7a2b4450-b09b-4578-9181-a1e69026ac08,loops,restructure_loop,unused_vars,low,3.0,0,False,0.4444,unused_vars,1,0.001,0.001,0.041667,0,0,18,O(log n),2,0.142,3451,5
362fb6ec-4f99-4919-8669-ec91f9b1a8f7,loops,restructure_loop,unused_vars,low,3.0,0,False,0.6818,unused_vars,1,0.001,0.001,0.027027,0,0,22,O(log n),2,0.386,3833,3
362fb6ec-4f99-4919-8669-ec91f9b1a8f7,loops,restructure_loop,unused_vars,low,3.0,0,False,0.6364,unused_vars,1,0.001,0.001,0.027027,0,0,22,O(log n),2,0.386,3833,3
362fb6ec-4f99-4919-8669-ec91f9b1a8f7,loops,restructure_loop,unused_vars,low,3.0,0,False,0.5909,unused_vars,1,0.002,0.002,0.027027,0,0,22,O(log n),2,0.386,3833,3
a6b2d98c-3ab0-4afa-bf04-cfbb8fb4df20,loops,restructure_loop,constant_folding,low,2.0,0,False,0.875,constant_folding,1,0.003,0.003,0.0625,0,0,8,O(n),3,0.067,3196,1
13f2e9a3-db2c-478a-9011-4517790cdc96,loops,restructure_loop,unused_vars,low,3.0,0,False,0.5625,constant_folding|unused_vars,1,0.001,0.001,0.047619,0,0,16,O(n),3,0.089,3447,4
13f2e9a3-db2c-478a-9011-4517790cdc96,loops,restructure_loop,unused_vars,low,3.0,0,False,0.3125,constant_folding|unused_vars,1,0.001,0.001,0.047619,0,0,16,O(n),3,0.089,3447,4
13f2e9a3-db2c-478a-9011-4517790cdc96,loops,restructure_loop,unused_vars,low,3.0,0,False,0.5,constant_folding|unused_vars,1,0.001,0.001,0.047619,0,0,16,O(n),3,0.089,3447,4
13f2e9a3-db2c-478a-9011-4517790cdc96,loops,restructure_loop,constant_folding,low,2.0,0,False,0.9375,constant_folding|unused_vars,1,0.002,0.002,0.047619,0,0,16,O(n),3,0.089,3447,4
06aa26d2-09e4-45d1-8215-79168c59cc31,loops,restructure_loop,nested_loops,low,6.0,2,True,0.7727,constant_folding|nested_loops|unused_vars,0,0.0,0.0,0.0,0,0,22,O(n²),5,0.252,3639,4
06aa26d2-09e4-45d1-8215-79168c59cc31,loops,restructure_loop,unused_vars,low,3.0,0,False,0.5455,constant_folding|nested_loops|unused_vars,1,0.0,0.0,0.021277,0,0,22,O(n²),5,0.252,3639,4
06aa26d2-09e4-45d1-8215-79168c59cc31,loops,restructure_loop,unused_vars,low,3.0,0,False,0.5,constant_folding|nested_loops|unused_vars,1,0.001,0.001,0.021277,0,0,22,O(n²),5,0.252,3639,4
06aa26d2-09e4-45d1-8215-79168c59cc31,loops,restructure_loop,constant_folding,low,2.0,0,False,0.3636,constant_folding|nested_loops|unused_vars,1,0.003,0.003,0.021277,0,0,22,O(n²),5,0.252,3639,4
b54ac421-ed91-4b2e-a032-5e46aaffd85e,loops,restructure_loop,unused_vars,low,3.0,0,False,0.2941,unused_vars,1,0.001,0.001,0.004785,0,0,17,O(n),3,1.048,3686,5
b54ac421-ed91-4b2e-a032-5e46aaffd85e,loops,restructure_loop,unused_vars,low,3.0,0,False,0.3529,unused_vars,1,0.001,0.001,0.004785,0,0,17,O(n),3,1.048,3686,5
b54ac421-ed91-4b2e-a032-5e46aaffd85e,loops,restructure_loop,unused_vars,low,3.0,0,False,0.4118,unused_vars,1,0.001,0.001,0.004785,0,0,17,O(n),3,1.048,3686,5
b54ac421-ed91-4b2e-a032-5e46aaffd85e,loops,restructure_loop,unused_vars,low,3.0,0,False,0.4706,unused_vars,1,0.001,0.001,0.004785,0,0,17,O(n),3,1.048,3686,5
b54ac421-ed91-4b2e-a032-5e46aaffd85e,loops,restructure_loop,unused_vars,low,3.0,0,False,0.5294,unused_vars,1,0.001,0.001,0.004785,0,0,17,O(n),3,1.048,3686,5
867073b5-33ef-4b07-8cbd-839353853622,mixed,mixed,unused_vars,low,3.0,0,False,0.2273,unused_vars,1,0.001,0.001,0.058824,0,0,22,O(log n),2,0.147,3886,5
867073b5-33ef-4b07-8cbd-839353853622,mixed,mixed,unused_vars,low,3.0,0,False,0.2727,unused_vars,1,0.001,0.001,0.058824,0,0,22,O(log n),2,0.147,3886,5
867073b5-33ef-4b07-8cbd-839353853622,mixed,mixed,unused_vars,low,3.0,0,False,0.3182,unused_vars,1,0.001,0.001,0.058824,0,0,22,O(log n),2,0.147,3886,5
867073b5-33ef-4b07-8cbd-839353853622,mixed,mixed,unused_vars,low,3.0,0,False,0.3636,unused_vars,1,0.001,0.001,0.058824,0,0,22,O(log n),2,0.147,3886,5
867073b5-33ef-4b07-8cbd-839353853622,mixed,mixed,unused_vars,low,3.0,0,False,0.4091,unused_vars,1,0.0,0.0,0.058824,0,0,22,O(log n),2,0.147,3886,5
1f4f3f3a-b49b-479e-b0a3-9513f0becd97,mixed,mixed,unused_vars,low,3.0,0,False,0.1923,unused_vars,1,0.001,0.001,0.011905,7,0,26,O(n²),5,0.634,4050,5
1f4f3f3a-b49b-479e-b0a3-9513f0becd97,mixed,mixed,unused_vars,low,3.0,0,False,0.2308,unused_vars,1,0.001,0.001,0.011905,7,0,26,O(n²),5,0.634,4050,5
1f4f3f3a-b49b-479e-b0a3-9513f0becd97,mixed,mixed,unused_vars,low,3.0,0,False,0.2692,unused_vars,1,0.001,0.001,0.011905,7,0,26,O(n²),5,0.634,4050,5
1f4f3f3a-b49b-479e-b0a3-9513f0becd97,mixed,mixed,unused_vars,low,3.0,0,False,0.3077,unused_vars,1,0.001,0.001,0.011905,7,0,26,O(n²),5,0.634,4050,5
1f4f3f3a-b49b-479e-b0a3-9513f0becd97,mixed,mixed,unused_vars,low,3.0,0,False,0.3462,unused_vars,1,0.0,0.0,0.011905,7,0,26,O(n²),5,0.634,4050,5
c346b58b-e828-413a-a709-df39d3628a18,mixed,mixed,unused_vars,low,3.0,0,False,0.4286,unused_vars,1,0.001,0.001,0.016393,0,0,21,O(n²),5,0.465,3481,3
c346b58b-e828-413a-a709-df39d3628a18,mixed,mixed,unused_vars,low,3.0,0,False,0.2381,unused_vars,1,0.001,0.001,0.016393,0,0,21,O(n²),5,0.465,3481,3
c346b58b-e828-413a-a709-df39d3628a18,mixed,mixed,unused_vars,low,3.0,0,False,0.381,unused_vars,1,0.001,0.001,0.016393,0,0,21,O(n²),5,0.465,3481,3
29965824-9cdc-4d3c-ad8c-7baf36c99820,mixed,mixed,nested_loops,low,6.0,2,True,0.8148,nested_loops|unused_vars,0,0.0,0.0,0.0,0,0,27,O(n²),5,0.575,3673,3
